x_over_c,Cp_alpha_-5.00,Cp_alpha_-4.00,Cp_alpha_-3.00,Cp_alpha_-2.00,Cp_alpha_-1.00,Cp_alpha_0.00,Cp_alpha_1.00,Cp_alpha_2.00,Cp_alpha_3.00,Cp_alpha_4.00,Cp_alpha_5.00,Cp_alpha_6.00,Cp_alpha_7.00,Cp_alpha_8.00,Cp_alpha_9.00,Cp_alpha_10.00,Cp_alpha_11.00,Cp_alpha_12.00,Cp_alpha_13.00,Cp_alpha_14.00,Cp_alpha_15.00,Cp_alpha_16.00,Cp_alpha_17.00,Cp_alpha_18.00,Cp_alpha_19.00,Cp_alpha_20.00
0.999371,0.998046,0.998353,0.998635,0.998892,0.999122,0.999326,0.999503,0.999654,0.999777,0.999874,0.999943,0.999985,1.000000,0.999987,0.999947,0.999880,0.999785,0.999664,0.999515,0.999339,0.999137,0.998909,0.998655,0.998374,0.998069,0.997738
0.998364,-1.831014,-1.829634,-1.826530,-1.821708,-1.815173,-1.806932,-1.796996,-1.785377,-1.772089,-1.757149,-1.740574,-1.722384,-1.702603,-1.681253,-1.658361,-1.633955,-1.608065,-1.580721,-1.551958,-1.521811,-1.490316,-1.457511,-1.423437,-1.388135,-1.351647,-1.314020
0.996856,0.884451,0.885952,0.887511,0.889128,0.890801,0.892526,0.894303,0.896129,0.898001,0.899918,0.901878,0.903877,0.905913,0.907985,0.910089,0.912222,0.914383,0.916568,0.918776,0.921002,0.923245,0.925502,0.927769,0.930046,0.932327,0.934611
0.994848,-0.970040,-0.968854,-0.966469,-0.962889,-0.958117,-0.952160,-0.945025,-0.936720,-0.927256,-0.916644,-0.904897,-0.892029,-0.878056,-0.862996,-0.846865,-0.829685,-0.811476,-0.792260,-0.772061,-0.750902,-0.728811,-0.705814,-0.681938,-0.657214,-0.631671,-0.605340
0.992341,0.772889,0.774684,0.776609,0.778661,0.780838,0.783136,0.785554,0.788089,0.790737,0.793494,0.796359,0.799326,0.802393,0.805556,0.808811,0.812154,0.815581,0.819087,0.822669,0.826322,0.830042,0.833824,0.837663,0.841556,0.845496,0.849480
0.989338,-0.692168,-0.690443,-0.687689,-0.683911,-0.679112,-0.673299,-0.666479,-0.658659,-0.649850,-0.640062,-0.629307,-0.617599,-0.604951,-0.591378,-0.576898,-0.561528,-0.545287,-0.528195,-0.510272,-0.491540,-0.472022,-0.451742,-0.430724,-0.408995,-0.386580,-0.363507
0.985843,0.680928,0.683118,0.685494,0.688051,0.690787,0.693698,0.696782,0.700033,0.703449,0.707025,0.710756,0.714639,0.718668,0.722839,0.727146,0.731584,0.736148,0.740832,0.745630,0.750537,0.755547,0.760654,0.765851,0.771131,0.776490,0.781919
0.981858,-0.564913,-0.562372,-0.558882,-0.554447,-0.549073,-0.542767,-0.535535,-0.527388,-0.518334,-0.508385,-0.497553,-0.485851,-0.473294,-0.459896,-0.445674,-0.430645,-0.414828,-0.398243,-0.380908,-0.362845,-0.344077,-0.324626,-0.304515,-0.283770,-0.262416,-0.240478
0.977388,0.604028,0.606757,0.609716,0.612901,0.616307,0.619931,0.623769,0.627814,0.632064,0.636512,0.641152,0.645981,0.650990,0.656175,0.661529,0.667046,0.672718,0.678540,0.684503,0.690601,0.696825,0.703170,0.709626,0.716186,0.722842,0.729586
0.972437,-0.497622,-0.494111,-0.489696,-0.484380,-0.478172,-0.471078,-0.463108,-0.454270,-0.444576,-0.434037,-0.422666,-0.410478,-0.397487,-0.383708,-0.369159,-0.353857,-0.337822,-0.321072,-0.303627,-0.285510,-0.266742,-0.247346,-0.227346,-0.206766,-0.185632,-0.163968
