x_over_c,Cp_alpha_-5.00,Cp_alpha_-4.00,Cp_alpha_-3.00,Cp_alpha_-2.00,Cp_alpha_-1.00,Cp_alpha_0.00,Cp_alpha_1.00,Cp_alpha_2.00,Cp_alpha_3.00,Cp_alpha_4.00,Cp_alpha_5.00,Cp_alpha_6.00,Cp_alpha_7.00,Cp_alpha_8.00,Cp_alpha_9.00,Cp_alpha_10.00
0.999281,0.998860,0.999004,0.999138,0.999263,0.999379,0.999485,0.999581,0.999668,0.999745,0.999812,0.999868,0.999915,0.999952,0.999978,0.999994,1.000000
0.998266,-1.858768,-1.830564,-1.800784,-1.769465,-1.736644,-1.702361,-1.666660,-1.629582,-1.591173,-1.551480,-1.510551,-1.468437,-1.425187,-1.380856,-1.335497,-1.289166
0.996744,0.916599,0.915751,0.914950,0.914197,0.913493,0.912840,0.912237,0.911686,0.911187,0.910740,0.910348,0.910009,0.909724,0.909494,0.909319,0.909199
0.994718,-0.973914,-0.958049,-0.941061,-0.922970,-0.903797,-0.883567,-0.862303,-0.840032,-0.816781,-0.792579,-0.767454,-0.741438,-0.714561,-0.686857,-0.658360,-0.629104
0.992189,0.811322,0.810523,0.809838,0.809268,0.808813,0.808474,0.808252,0.808146,0.808158,0.808286,0.808531,0.808892,0.809369,0.809962,0.810669,0.811490
0.989160,-0.684079,-0.671721,-0.658393,-0.644113,-0.628898,-0.612766,-0.595736,-0.577830,-0.559070,-0.539477,-0.519077,-0.497894,-0.475953,-0.453282,-0.429908,-0.405860
0.985635,0.723414,0.723065,0.722883,0.722871,0.723027,0.723352,0.723845,0.724506,0.725333,0.726327,0.727485,0.728806,0.730289,0.731931,0.733732,0.735688
0.981617,-0.547038,-0.535868,-0.523806,-0.510868,-0.497068,-0.482424,-0.466953,-0.450674,-0.433608,-0.415775,-0.397196,-0.377894,-0.357894,-0.337218,-0.315893,-0.293944
0.977110,0.650653,0.650963,0.651485,0.652220,0.653165,0.654320,0.655683,0.657252,0.659027,0.661004,0.663181,0.665556,0.668125,0.670885,0.673834,0.676968
0.972120,-0.470578,-0.459654,-0.447884,-0.435285,-0.421869,-0.407655,-0.392659,-0.376899,-0.360395,-0.343167,-0.325236,-0.306624,-0.287353,-0.267447,-0.246930,-0.225827
0.966651,0.589594,0.590693,0.592039,0.593631,0.595466,0.597544,0.599861,0.602414,0.605200,0.608216,0.611458,0.614923,0.618605,0.622501,0.626606,0.630914
0.960710,-0.424433,-0.413263,-0.401280,-0.388499,-0.374933,-0.360601,-0.345520,-0.329708,-0.313184,-0.295968,-0.278082,-0.259547,-0.240386,-0.220622,-0.200280,-0.179383
