# Thin Airfoil Theory Results: NACA_0012_N100
# Zero-lift angle of attack: 0.0000 deg
alpha_deg,c_L,c_M_LE,c_M_QC
-5.000000,-0.548311,0.137078,0.000000
-4.000000,-0.438649,0.109662,0.000000
-3.000000,-0.328987,0.082247,0.000000
-2.000000,-0.219325,0.054831,0.000000
-1.000000,-0.109662,0.027416,0.000000
0.000000,0.000000,-0.000000,0.000000
1.000000,0.109662,-0.027416,0.000000
2.000000,0.219325,-0.054831,0.000000
3.000000,0.328987,-0.082247,0.000000
4.000000,0.438649,-0.109662,0.000000
5.000000,0.548311,-0.137078,0.000000
6.000000,0.657974,-0.164493,0.000000
7.000000,0.767636,-0.191909,0.000000
8.000000,0.877298,-0.219325,0.000000
9.000000,0.986960,-0.246740,0.000000
10.000000,1.096623,-0.274156,0.000000
