# Thin Airfoil Theory Results: NACA_2412_N100
# Zero-lift angle of attack: -2.0772 deg
alpha_deg,c_L,c_M_LE,c_M_QC
-5.000000,-0.320516,0.027010,-0.053120
-4.000000,-0.210854,-0.000406,-0.053120
-3.000000,-0.101192,-0.027822,-0.053120
-2.000000,0.008470,-0.055237,-0.053120
-1.000000,0.118133,-0.082653,-0.053120
0.000000,0.227795,-0.110068,-0.053120
1.000000,0.337457,-0.137484,-0.053120
2.000000,0.447119,-0.164899,-0.053120
3.000000,0.556782,-0.192315,-0.053120
4.000000,0.666444,-0.219731,-0.053120
5.000000,0.776106,-0.247146,-0.053120
6.000000,0.885769,-0.274562,-0.053120
7.000000,0.995431,-0.301977,-0.053120
8.000000,1.105093,-0.329393,-0.053120
9.000000,1.214755,-0.356808,-0.053120
10.000000,1.324418,-0.384224,-0.053120
11.000000,1.434080,-0.411639,-0.053120
12.000000,1.543742,-0.439055,-0.053120
13.000000,1.653404,-0.466471,-0.053120
14.000000,1.763067,-0.493886,-0.053120
15.000000,1.872729,-0.521302,-0.053120
16.000000,1.982391,-0.548717,-0.053120
17.000000,2.092054,-0.576133,-0.053120
18.000000,2.201716,-0.603548,-0.053120
19.000000,2.311378,-0.630964,-0.053120
20.000000,2.421040,-0.658380,-0.053120
